user_id,topic_id,topic,subject,quiz_accuracy,avg_time_per_question,total_attempts,question_difficulty,videos_watched,articles_read,chatbot_questions,study_duration,daily_streak,ewma_accuracy,prerequisite_mastery,previous_attempt_accuracy,label
U1227,11,SQL,Database Management Systems,55.4,56.2,1,Easy,5,2,0,23.3,7,54.9,55.1,41.7,Moderate
U1380,6,Graphs,Data Structures & Algorithms,10.4,63.0,4,Easy,0,1,2,35.6,3,14.8,38.5,17.2,Weak
U1311,27,Polymorphism,Object Oriented Programming,2.0,116.0,3,Hard,2,2,1,32.5,6,6.7,7.5,14.0,Weak
U1584,22,DNS,Computer Networks,15.4,64.3,3,Medium,0,1,5,17.5,6,25.3,32.2,17.1,Weak
U1561,1,Arrays,Data Structures & Algorithms,13.3,72.8,1,Medium,3,3,1,55.2,4,17.5,29.4,19.0,Weak
U1312,9,Recursion,Data Structures & Algorithms,50.5,38.8,1,Medium,2,2,4,45.7,6,43.0,61.8,5.6,Moderate
U1328,12,Normalization,Database Management Systems,40.2,61.7,1,Easy,5,3,2,47.9,7,36.5,47.6,35.1,Weak
U1048,27,Polymorphism,Object Oriented Programming,43.5,63.6,2,Easy,1,2,2,22.9,4,36.9,41.8,31.0,Weak
U1030,5,Trees,Data Structures & Algorithms,18.7,55.4,4,Medium,2,2,1,32.2,3,35.8,54.5,18.7,Weak
U1068,11,SQL,Database Management Systems,14.8,70.0,2,Easy,3,1,2,58.9,6,18.8,28.5,23.0,Weak
U1092,16,Threads,Operating Systems,72.0,45.5,1,Easy,4,3,2,67.2,9,63.8,67.8,46.3,Strong
U1022,8,Searching,Data Structures & Algorithms,2.0,82.0,4,Hard,1,1,2,29.9,7,11.9,28.5,21.2,Weak
U1575,1,Arrays,Data Structures & Algorithms,60.8,59.8,3,Hard,3,1,1,52.0,1,65.1,78.4,48.6,Moderate
U1089,5,Trees,Data Structures & Algorithms,57.8,45.3,1,Hard,1,2,2,39.0,10,61.2,61.3,84.1,Moderate
U1149,1,Arrays,Data Structures & Algorithms,45.0,62.0,1,Medium,3,0,0,39.0,6,44.5,46.5,45.0,Weak
U1581,15,Processes,Operating Systems,50.8,55.2,2,Hard,0,0,0,42.2,6,65.4,82.0,73.8,Moderate
U1026,5,Trees,Data Structures & Algorithms,39.3,71.5,1,Hard,1,0,2,28.6,7,36.2,42.5,17.3,Weak
U1288,19,Memory Management,Operating Systems,29.6,68.3,8,Medium,4,3,3,41.0,14,25.8,47.8,3.8,Weak
U1493,7,Sorting,Data Structures & Algorithms,19.7,75.5,2,Medium,1,1,3,64.9,13,24.4,44.7,6.1,Weak
U1443,5,Trees,Data Structures & Algorithms,66.6,32.2,3,Easy,4,2,2,57.7,7,68.5,73.8,61.2,Strong
U1109,19,Memory Management,Operating Systems,26.8,68.9,4,Medium,2,2,1,34.8,7,24.0,34.2,17.7,Weak
U1068,21,TCP/IP,Computer Networks,22.9,58.6,8,Easy,3,1,4,43.2,3,13.3,29.0,2.0,Weak
U1322,1,Arrays,Data Structures & Algorithms,5.9,67.5,3,Hard,3,1,0,39.8,3,25.7,50.5,33.0,Weak
